neighbourhood_group,room_type,price
Brooklyn,Entire home/apt,171.54048031691013
Brooklyn,Private room,73.36235919503861
Brooklyn,Shared room,45.60069444444444
Manhattan,Entire home/apt,230.19296645383602
Manhattan,Private room,106.56221937139192
Manhattan,Shared room,77.97175141242938
Queens,Entire home/apt,139.35668789808918
Queens,Private room,69.22783855149001
Queens,Shared room,65.0738255033557
Staten Island,Entire home/apt,124.87248322147651
Staten Island,Private room,57.449367088607595
Staten Island,Shared room,67.0
